Timestamp,Current,MVoltage,Sl1Voltage,Sl2Voltage,Sl3Voltage,T000007c0681f,T000007c2763a,T000007c0a876,T000007c1a9bf
1484262188.65,0.0436935424805,3.60852734375,3.65929296875,3.6684453125,3.65350585938,21.187,21.312,21.25,21.687
1484262189.65,-0.00303649902344,3.60853515625,3.65458398437,3.66340625,3.6487890625,21.187,21.312,21.25,21.687
1484262190.71,0.147453308105,3.60852929688,3.6545859375,3.66341210938,3.64879101563,21.375,21.25,21.687,21.25
1484262191.71,-0.0552978515625,3.60852929688,3.65458007812,3.66341601563,3.648796875,21.375,21.25,21.687,21.25
1484262192.71,0.00535583496094,3.60851953125,3.65458007812,3.6634140625,3.64879296875,21.25,21.375,21.25,21.687
1484262193.65,0.0173721313477,3.60851367187,3.65458789063,3.66341796875,3.6487890625,21.25,21.375,21.25,21.687
1484262194.66,0.033203125,3.60852734375,3.65457617188,3.66341601563,3.64878320313,21.25,21.375,21.312,21.687
1484262195.71,0.0105056762695,3.60852929688,3.654578125,3.66341210938,3.64879492187,21.25,21.375,21.312,21.687
1484262196.71,0.0341567993164,3.60853125,3.65458203125,3.66341210938,3.64878515625,21.25,21.687,21.375,21.312
1484262197.71,-0.0408020019531,3.60853125,3.65458398437,3.66341210938,3.6487890625,21.25,21.687,21.375,21.312
1484262198.71,0.0686798095703,3.60851953125,3.65458398437,3.66340234375,3.64879296875,21.25,21.375,21.687,21.312
1484262199.72,0.107971191406,3.60851757813,3.65458203125,3.66340820312,3.64878710938,21.25,21.375,21.687,21.312
1484262200.72,-0.0453796386719,3.608515625,3.65458398437,3.66340429688,3.64879101563,21.25,21.437,21.312,21.75
1484262201.72,-0.0140991210938,3.6085390625,3.65458398437,3.66341210938,3.648796875,21.25,21.437,21.312,21.75
1484262202.72,0.0724945068359,3.60851953125,3.65458007812,3.6634140625,3.6487890625,21.25,21.375,21.312,21.75
1484262203.72,-0.0430908203125,3.60852929688,3.65457617188,3.6634140625,3.64878515625,21.25,21.375,21.312,21.75
1484262204.72,0.160423278809,3.60851367187,3.65457421875,3.66340429688,3.64878515625,21.25,21.437,21.312,21.75
1484262205.72,-0.00532531738281,3.60853125,3.6545859375,3.66340625,3.6487890625,21.25,21.437,21.312,21.75
1484262206.72,-0.0186767578125,3.6085078125,3.654578125,3.66340429688,3.64878515625,21.312,21.312,21.375,21.75
1484262207.73,0.065055847168,3.6085234375,3.6545859375,3.66341015625,3.64879296875,21.312,21.312,21.375,21.75
1484262208.73,0.127998352051,3.60852929688,3.65458398437,3.66340820312,3.64878515625,21.25,21.375,21.375,21.75
1484262209.73,0.201622009277,3.60852929688,3.65457617188,3.66341796875,3.64878125,21.25,21.375,21.375,21.75
1484262210.73,0.0890884399414,3.60852929688,3.65458398437,3.66341015625,3.64878515625,21.25,21.437,21.312,21.75
1484262211.73,-0.0688400268555,3.60852734375,3.65457617188,3.66340625,3.64878125,21.25,21.437,21.312,21.75
1484262212.73,-0.0646438598633,3.6085234375,3.6545859375,3.6634140625,3.64878320313,21.25,21.437,21.312,21.75
1484262213.73,-0.041374206543,3.608515625,3.65458203125,3.66341015625,3.64878710938,21.25,21.437,21.312,21.75
1484262214.74,0.184265136719,3.60852148438,3.65458007812,3.66340234375,3.64877929687,21.312,21.312,21.437,21.75
1484262215.74,-0.124725341797,3.60851953125,3.65456445312,3.66340429688,3.64879296875,21.312,21.312,21.437,21.75
1484262216.74,0.0866088867188,3.608515625,3.65456835938,3.66340625,3.64878125,21.312,21.437,21.812,21.312
1484262217.74,-0.150093078613,3.60852148438,3.65457421875,3.66340625,3.6487890625,21.312,21.437,21.812,21.312
1484262218.78,0.134864807129,3.60850976563,3.65456054687,3.66339648438,3.6487890625,21.312,21.437,21.75,21.375
1484262219.69,-0.0499572753906,3.60852539063,3.6545703125,3.66340234375,3.64878515625,21.312,21.437,21.75,21.375
1484262220.74,-0.0778045654297,3.60853515625,3.65457617188,3.66340234375,3.64878320313,21.312,21.437,21.312,21.75
1484262221.69,-0.0671234130859,3.6085234375,3.65457617188,3.66340429688,3.64877734375,21.312,21.437,21.312,21.75
1484262222.69,-0.0310745239258,3.60853320312,3.65458398437,3.66341015625,3.64878710938,21.312,21.437,21.312,21.75
1484262223.69,-0.0181045532227,3.60853320312,3.6545703125,3.66340429688,3.64878515625,21.312,21.437,21.312,21.75
1484262224.69,0.0276718139648,3.60852148438,3.654578125,3.66341015625,3.64878320313,21.375,21.437,21.375,21.75
1484262225.75,0.0763092041016,3.60852734375,3.6545703125,3.66340625,3.64879296875,21.375,21.437,21.375,21.75
1484262226.75,-0.0333633422852,3.60853320312,3.654578125,3.66340039063,3.64878320313,21.312,21.437,21.312,21.75
1484262227.69,0.000968933105469,3.60852148438,3.65457421875,3.66339648438,3.6487890625,21.312,21.437,21.312,21.75
1484262228.69,-0.069221496582,3.6085234375,3.654578125,3.66340429688,3.64878710938,21.312,21.437,21.75,21.375
